source_FIPS_0,source_facility_0,destination_FIPS_0,destination_facility_0,flow_kg_0,source_0,destination_0,emission_0,emission_total
1059,0,1059,0,9999978.308696097,1059,1059,577533876.5509995,577533876.5509995
29119,0,5087,0,160244.28325852528,29119,5087,14997270.802868111,14997270.802868111
37011,0,37193,0,140681.03376611293,37011,37193,661684.0182855712,661684.0182855712
46039,0,46029,0,975.026670837608,46039,46029,23817.629922174245,23817.629922174245
8087,0,8123,0,17061.898654720237,8087,8123,190800.57505682338,190800.57505682338
17009,0,17009,0,1039.299208,17009,17009,11518.49211540049,11518.49211540049
17009,0,22071,0,0.439174998770167,17009,22071,6.184303500651437,6.184303500651437
19135,0,19101,0,790.5392007900407,19135,19101,16463.896561789225,16463.896561789225
19135,0,19117,0,114.7556904784228,19135,19117,2379.800642544384,2379.800642544384
19135,0,5133,0,19346405.460101828,19135,5133,444355160.04299563,444355160.04299563
28155,0,28155,0,132.49942122911486,28155,28155,1137.551643754263,1137.551643754263
28155,0,28159,0,5273894.750136787,28155,28159,45900914.11633781,45900914.11633781
28131,0,28131,0,1007793.1172555976,28131,28131,79149532.60691158,79149532.60691158
28131,0,28047,0,47.97438277275985,28131,28047,3770.6923414899147,3770.6923414899147
31159,0,31081,0,139578.95598135656,31159,31081,1839819.4912889095,1839819.4912889095
31159,0,31185,0,1773689.1430297946,31159,31185,23188046.400309432,23188046.400309432
39139,0,39169,0,47878641.37484829,39139,39169,480145415.94764537,480145415.94764537
39139,0,39075,0,33122061.825575706,39139,39075,332912927.404038,332912927.404038
48285,0,48285,0,63.44845401379482,48285,48285,1940.2130120413278,1940.2130120413278
55139,0,28065,0,41220213.72450778,55139,28065,656030743.0841917,656030743.0841917
55139,0,22071,0,0.2749614433197595,55139,22071,4.504504204677291,4.504504204677291
55139,0,28035,0,4604834.413249843,55139,28035,73877995.17390391,73877995.17390391
19027,0,19027,0,464.9726741600026,19027,19027,4603.184158412175,4603.184158412175
19027,0,19047,0,674.9357560208684,19027,19047,6732.632693345569,6732.632693345569
20015,0,35009,0,494.2681629829776,20015,35009,9598.8033739942,9598.8033739942
20015,0,48161,0,4900061.745006843,20015,48161,93726758.84404957,93726758.84404957
27009,0,27009,0,23144056.64,27009,27009,367730121.83838016,367730121.83838016
27009,0,27097,0,15616633.209261209,27009,27097,249547315.43871728,249547315.43871728
18031,0,18031,0,2182.3406198537255,18031,18031,30751.22119709315,30751.22119709315
18031,0,18137,0,342.4500258618784,18031,18137,4842.938686492971,4842.938686492971
18031,0,47009,0,3153.6534202640355,18031,47009,48231.17144865173,48231.17144865173
18031,0,18029,0,977.5391644663476,18031,18029,13914.663492003865,13914.663492003865
18031,0,13123,0,144085498.36398998,18031,13123,2259830897.545613,2259830897.545613
18031,0,21151,0,581697.8271869244,18031,21151,8547603.262853945,8547603.262853945
18031,0,47025,0,1509.8414002505026,18031,47025,22824.26476249412,22824.26476249412
18031,0,47001,0,631002.9258627589,18031,47001,9574213.672594752,9574213.672594752
18047,0,18047,0,183.6777411729269,18047,18047,2373.582185970282,2373.582185970282
18047,0,18161,0,311.31820527061484,18047,18161,4036.4530122349825,4036.4530122349825
18047,0,47093,0,4000.438938292944,18047,47093,55970.08053900227,55970.08053900227
18047,0,13227,0,26077438.715862047,18047,13227,378469358.5668026,378469358.5668026
18047,0,47105,0,49413.05281887045,18047,47105,696854.3192950471,696854.3192950471
18047,0,13213,0,42609490.1755802,18047,13213,614581709.0256815,614581709.0256815
18047,0,21015,0,2375.3579063700754,18047,21015,31110.098320126104,31110.098320126104
19063,0,19063,0,803.2898330789772,19063,19063,8658.93264682057,8658.93264682057
19063,0,19147,0,69.09949732088701,19063,19147,750.9404365397407,750.9404365397407
19063,0,27091,0,78.2745074594709,19063,27091,851.9535929939566,851.9535929939566
19063,0,19059,0,389974.69977288647,19063,19059,4230384.282010686,4230384.282010686
26069,0,36063,0,111.2321188576495,26069,36063,2794.0401319487532,2794.0401319487532
26069,0,36045,0,33.17193414686858,26069,36045,857.0752004683043,857.0752004683043
26069,0,39035,0,49342.77155782137,26069,39035,1200223.2880036004,1200223.2880036004
36003,0,36003,0,4610.979859004605,36003,36003,251272.57847694083,251272.57847694083
36003,0,42035,0,1795.1621337574122,36003,42035,98461.55228799676,98461.55228799676
36003,0,42105,0,1263.7862931108054,36003,42105,68973.5484150617,68973.5484150617
40071,0,40071,0,701236.0627625457,40071,40071,16021409.537472736,16021409.537472736
40071,0,40019,0,267330.5287550296,40071,40019,6299335.557713881,6299335.557713881
47109,0,28103,0,5825861.023145189,47109,28103,79904949.50231557,79904949.50231557
1085,0,1085,0,6541361.519267489,1085,1085,248305823.86384064,248305823.86384064
1085,0,1039,0,9405978.445233371,1085,1039,360020955.945746,360020955.945746
17147,0,17115,0,279.0579017974236,17147,17115,2238.807347136163,2238.807347136163
18009,0,13207,0,38025066.90669349,18009,13207,657866518.3683676,657866518.3683676
18009,0,13225,0,1979755.292846049,18009,13225,34551196.56425772,34551196.56425772
18009,0,13117,0,15804099.825648118,18009,13117,267718199.669022,267718199.669022
18009,0,13289,0,1979755.292846049,18009,13289,34581168.475587174,34581168.475587174
18009,0,1115,0,57397220.85208752,18009,1115,979922131.6560991,979922131.6560991
18009,0,13255,0,1979755.2928460487,18009,13255,34071645.98298644,34071645.98298644
26045,0,26025,0,3781.297208920162,26045,26025,47431.34057931836,47431.34057931836
38047,0,38047,0,175.3530317754458,38047,38047,6721.888920431269,6721.888920431269
