source_FIPS_0,source_facility_0,destination_FIPS_0,destination_facility_0,flow_kg_0,source_0,destination_0,emission_0,emission_total
31157,0,6025,0,275690093.31180733,31157,6025,6521803578.960962,6521803578.960962
31157,0,31007,0,20379301.868342523,31157,31007,387604684.16402125,387604684.16402125
37011,0,37193,0,4433.023435192058,37011,37193,20850.43506737827,20850.43506737827
46039,0,46029,0,6119383.775207359,46039,46029,149482288.5044148,149482288.5044148
8087,0,8123,0,67435545.61608838,8087,8123,754121281.7637196,754121281.7637196
17009,0,17009,0,164228.437,17009,17009,1820134.127061748,1820134.127061748
19135,0,19101,0,8972731.815723984,19135,19101,186867556.14790756,186867556.14790756
19135,0,19117,0,2769482.2749598874,19135,19117,57433454.23645092,57433454.23645092
31159,0,31081,0,2583196.099860616,31159,31081,34049649.54014885,34049649.54014885
31159,0,31185,0,49354967.88400805,31159,31185,645234419.9532241,645234419.9532241
39139,0,39169,0,4987922.267082315,39139,39169,50020801.40270791,50020801.40270791
39139,0,39075,0,2798041.6161439144,39139,39075,28123376.80951736,28123376.80951736
46085,0,46003,0,500287.5494403227,46085,46003,21160061.75339946,21160061.75339946
46085,0,46015,0,34435724.17375753,46085,46015,1452745938.4991868,1452745938.4991868
48285,0,48285,0,3055015.785124805,48285,48285,93420422.458238,93420422.458238
19027,0,19027,0,22999475.969098058,19027,19027,227692570.5881423,227692570.5881423
19027,0,19047,0,3213020.4484412586,19027,19047,32050586.03369446,32050586.03369446
19027,0,19073,0,13412990.12400406,19027,19073,133751839.22644098,133751839.22644098
20015,0,35009,0,26740858.369661473,20015,35009,519313726.3648671,519313726.3648671
20015,0,48161,0,2239167.860901585,20015,48161,42830061.544413485,42830061.544413485
27009,0,27009,0,10343903.22,27009,27009,164351688.66640887,164351688.66640887
27009,0,27097,0,5354798.440448044,27009,27097,85567456.03378719,85567456.03378719
18031,0,18031,0,11718312.846374089,18031,18031,165121992.0104594,165121992.0104594
18031,0,18137,0,2647532.517072699,18031,18137,37441485.42085661,37441485.42085661
18031,0,47009,0,12996760.977749512,18031,47009,198769149.129425,198769149.129425
18031,0,18029,0,171731.83894784682,18031,18029,2444496.1764031244,2444496.1764031244
18031,0,21151,0,1059013.00663737,18031,21151,15561383.604806809,15561383.604806809
18031,0,47001,0,74065.63239094496,18031,47001,1123798.5772208502,1123798.5772208502
18047,0,18047,0,2893204.4539961824,18047,18047,37387538.133485116,37387538.133485116
18047,0,21191,0,172369.01603547912,18047,21191,2272654.8705853047,2272654.8705853047
18047,0,18161,0,552972.7387689779,18047,18161,7169668.973093463,7169668.973093463
18047,0,47093,0,250442.2651173584,18047,47093,3503933.934552222,3503933.934552222
18047,0,47105,0,68334.39675172658,18047,47105,963695.153736317,963695.153736317
18047,0,21015,0,367315.32224880945,18047,21015,4810734.314607716,4810734.314607716
19063,0,19063,0,5819820.336414619,19063,19063,62733810.68008151,62733810.68008151
19063,0,19147,0,1303681.532996859,19063,19147,14167790.178721558,14167790.178721558
19063,0,27091,0,622188.8941604837,19063,27091,6772014.045255083,6772014.045255083
19063,0,19059,0,12570018.5297238,19063,19059,136357586.38623297,136357586.38623297
26069,0,36063,0,3863.175025714156,26069,36063,97039.11216868101,97039.11216868101
26069,0,36045,0,6662.528263288975,26069,36045,172142.14044926866,172142.14044926866
36003,0,42035,0,934191.9856037078,36003,42035,51238822.00267985,51238822.00267985
36003,0,42105,0,52957.33973761113,36003,42105,2890247.865668801,2890247.865668801
40071,0,40071,0,6524111.90783333,40071,40071,149058889.43007067,149058889.43007067
17147,0,17115,0,362061.6664646872,17147,17115,2904724.4811076275,2904724.4811076275
20203,0,20171,0,127394840.98300758,20203,20171,2712110979.987739,2712110979.987739
20067,0,20067,0,137509875.88293263,20067,20067,2413267608.914689,2413267608.914689
26045,0,26025,0,795768.5738821644,26045,26025,9981857.591379916,9981857.591379916
38047,0,38047,0,8415969.763857868,38047,38047,322613263.8687703,322613263.8687703
38047,0,38043,0,9077360.406714749,38047,38043,349285927.6298183,349285927.6298183
38047,0,38055,0,455290.11972140544,38047,38055,17693058.444637988,17693058.444637988
