source_FIPS_0,source_facility_0,destination_FIPS_0,destination_facility_0,flow_kg_0,source_0,destination_0,emission_0,emission_total
29119,0,5087,0,921.1808700762792,29119,5087,86213.36553184422,86213.36553184422
31157,0,6025,0,7581132.832837233,31157,6025,179341443.31351197,179341443.31351197
37011,0,37193,0,176.6763752625163,37011,37193,830.9857469073485,830.9857469073485
46039,0,46029,0,969419.0126411167,46039,46029,23680647.897324264,23680647.897324264
8087,0,8123,0,29697640.217406217,8087,8123,332104119.5930525,332104119.5930525
17009,0,17009,0,389191.0201,17009,17009,4313381.23025542,4313381.23025542
19135,0,19101,0,188657.5582011001,19135,19101,3929012.6545509226,3929012.6545509226
19135,0,19117,0,8347.679564605056,19135,19117,173113.97028574412,173113.97028574412
19135,0,5133,0,44288.23628100171,19135,5133,1017228.0510326355,1017228.0510326355
28131,0,28047,0,131932.41115976142,28131,28047,10369628.614312911,10369628.614312911
31159,0,31081,0,24227.522862053997,31159,31081,319348.0598408284,319348.0598408284
39139,0,39169,0,30984295.79320602,39139,39169,310722425.7889862,310722425.7889862
39139,0,39075,0,8222483.968373736,39139,39075,82644951.96160671,82644951.96160671
46085,0,46015,0,6405996.323454246,46085,46015,270250891.0217991,270250891.0217991
48285,0,48285,0,590045.7225360691,48285,48285,18043219.592315126,18043219.592315126
55139,0,28035,0,226079.37129000996,55139,28035,3627120.804392837,3627120.804392837
19027,0,19047,0,648322.85943423,19027,19047,6467163.193433214,6467163.193433214
20015,0,35009,0,83373757.14439803,20015,35009,1619137871.5359063,1619137871.5359063
20015,0,48161,0,176793.95297449065,20015,48161,3381656.203089985,3381656.203089985
27009,0,27009,0,29191556.040000003,27009,27009,463817325.8135054,463817325.8135054
27009,0,27097,0,7811570.355600275,27009,27097,124825651.30905928,124825651.30905928
18031,0,18031,0,8436595.222405879,18031,18031,118879520.21528678,118879520.21528678
18031,0,18137,0,4291821.394617756,18031,18137,60695068.76280934,60695068.76280934
18031,0,47009,0,623363.077066326,18031,47009,9533555.986703154,9533555.986703154
18031,0,18029,0,8152.645502493823,18031,18029,116047.85041909755,116047.85041909755
18031,0,13123,0,777169.8243225736,18031,13123,12189098.844684131,12189098.844684131
18031,0,37039,0,329715.57379306527,18031,37039,5150654.721019641,5150654.721019641
18031,0,21151,0,241318.3068669156,18031,21151,3545987.367938381,3545987.367938381
18031,0,47025,0,630700.0115116361,18031,47025,9534288.863758344,9534288.863758344
18031,0,47001,0,18411.716187285227,18031,47001,279361.1529062548,279361.1529062548
18047,0,18047,0,4961302.038589374,18047,18047,64112603.20828417,64112603.20828417
18047,0,21191,0,50546.40210838562,18047,21191,666445.3367799061,666445.3367799061
18047,0,47093,0,270117.0281061462,18047,47093,3779203.2452589455,3779203.2452589455
18047,0,13227,0,19566.34920757497,18047,13227,283972.0462876819,283972.0462876819
18047,0,47105,0,17581.468679470803,18047,47105,247945.06086782363,247945.06086782363
18047,0,21015,0,79277.59662536104,18047,21015,1038299.8785085107,1038299.8785085107
19063,0,27091,0,49388.62629845713,19063,27091,537554.549925376,537554.549925376
19063,0,19059,0,3389011.3026159,19063,19059,36763462.23099176,36763462.23099176
26069,0,36063,0,372960.42897560424,26069,36063,9368394.82056668,9368394.82056668
26069,0,36045,0,769876.5352319488,26069,36045,19891577.103955362,19891577.103955362
36003,0,36003,0,8756305.225245345,36003,36003,477169595.0008943,477169595.0008943
36003,0,42023,0,46169.94693688497,36003,42023,2527868.651440532,2527868.651440532
36003,0,42035,0,2635963.1839489606,36003,42035,144578042.27542704,144578042.27542704
36003,0,42105,0,1125513.8873177895,36003,42105,61427068.02718217,61427068.02718217
40071,0,40071,0,824337.2914043186,40071,40071,18833950.56804401,18833950.56804401
40071,0,40019,0,435748.27701006294,40071,40019,10267905.533892017,10267905.533892017
47109,0,28103,0,188753.4829289563,47109,28103,2588859.8203604217,2588859.8203604217
18009,0,13117,0,16305.290998434064,18009,13117,276208.275025956,276208.275025956
18009,0,13255,0,293349.1740517072,18009,13255,5048547.789622437,5048547.789622437
20203,0,20171,0,3087725.1636487767,20203,20171,65734634.58095039,65734634.58095039
20067,0,20067,0,4048549.678460078,20067,20067,71051142.61340368,71051142.61340368
26045,0,26025,0,1149544.182562227,26045,26025,14419501.726936147,14419501.726936147
38047,0,38047,0,1151075.7514919932,38047,38047,44124719.49980037,44124719.49980037
38047,0,38043,0,65819.49111178642,38047,38043,2532654.9766710554,2532654.9766710554
38047,0,38055,0,59648.18166514509,38047,38055,2317991.800400975,2317991.800400975
39137,0,39003,0,627332.6681157848,39137,39003,7324425.7346158195,7324425.7346158195
39151,0,39067,0,43071.06955817476,39151,39067,473999.4084229281,473999.4084229281
42023,0,42035,0,243377.38821676312,42023,42035,5948595.3782381825,5948595.3782381825
55017,0,55017,0,20427219.106047504,55017,55017,201056153.76811025,201056153.76811025
31111,0,6047,0,367627909.629701,31111,6047,7606785119.407233,7606785119.407233
31111,0,32007,0,17776.158946702297,31111,32007,330758.59720581863,330758.59720581863
31111,0,6095,0,3330011.9591749054,31111,6095,68125421.62393296,68125421.62393296
31111,0,6061,0,114496.89715578474,31111,6061,2306887.6034931107,2306887.6034931107
31111,0,6103,0,2692686.2731160773,31111,6103,55311213.80236912,55311213.80236912
31111,0,49039,0,10060460.694670836,31111,49039,183153686.37223408,183153686.37223408
31111,0,49023,0,1251347.1422400773,31111,49023,22771675.603789695,22771675.603789695
20189,0,20067,0,3888063.878302307,20189,20067,68248915.52202752,68248915.52202752
20189,0,20189,0,2007240.745452271,20189,20189,35098003.681756616,35098003.681756616
26093,0,45003,0,5519.980480862952,26093,45003,158450.72368428853,158450.72368428853
26093,0,26163,0,3228.2429976205085,26093,26163,83617.69144525501,83617.69144525501
26093,0,26115,0,731813.4054360425,26093,26115,18998580.558475744,18998580.558475744
46125,0,46125,0,3971082.237731081,46125,46125,56310825.447766624,56310825.447766624
9013,0,9015,0,315765.4133736448,9013,9015,5038234.343773576,5038234.343773576
19177,0,19177,0,806385.8462138642,19177,19177,12208423.450482937,12208423.450482937
19177,0,29199,0,3493033.722325021,19177,29199,53194092.04184858,53194092.04184858
19177,0,29045,0,741602.9849753892,19177,29045,11297802.153777767,11297802.153777767
26125,0,26115,0,213282.3128207896,26125,26115,9373037.315188851,9373037.315188851
29003,0,29119,0,39198.410227055625,29003,29119,740449.9840809334,740449.9840809334
29003,0,48097,0,2009291.04,29003,48097,40037283.01550121,40037283.01550121
29003,0,35005,0,83021812.35695042,29003,35005,1761762387.3900054,1761762387.3900054
37157,0,37197,0,60031.75146556159,37157,37197,9044526.397688713,9044526.397688713
6019,0,6031,0,1995804.780784057,6019,6031,21627833.78628375,21627833.78628375
8101,0,8027,0,5827.277204254237,8101,8027,44953.45357757414,44953.45357757414
8101,0,8055,0,13992.721075501711,8101,8055,108044.88533790136,108044.88533790136
8101,0,8109,0,1049336.1451149967,8101,8109,8460290.382783791,8460290.382783791
8101,0,8023,0,78367.08255503734,8101,8023,619497.210599683,619497.210599683
8101,0,8021,0,219979.71447023228,8101,8021,1770093.328435855,1770093.328435855
8101,0,8105,0,5042.152919871745,8101,8105,40661.984798192796,40661.984798192796
8101,0,35055,0,151957.123375942,8101,35055,1233611.243866908,1233611.243866908
13207,0,13159,0,0.2825725256577817,13207,13159,15.196735283988122,15.196735283988122
19101,0,19087,0,31721.18235006001,19101,19087,447503.248962113,447503.248962113
19101,0,48117,0,5277092.191689951,19101,48117,92191802.1281505,92191802.1281505
19197,0,19169,0,13571.586245048791,19197,19169,126577.9545355648,126577.9545355648
19197,0,20099,0,203001.48029031808,19197,20099,2186906.602476907,2186906.602476907
29061,0,29061,0,119072.8351,29061,29061,2206123.9741719896,2206123.9741719896
31143,0,31143,0,933351.1842760212,31143,31143,11757964.373310085,11757964.373310085
31143,0,31121,0,314576.6160162367,31143,31121,3980762.610322363,3980762.610322363
36049,0,36049,0,19136765.398653157,36049,36049,2089125137.7702665,2089125137.7702665
55005,0,55005,0,28514896.327630337,55005,55005,405884399.6555548,405884399.6555548
55005,0,27137,0,282944.26961067866,55005,27137,4183383.3425893346,4183383.3425893346
55005,0,55107,0,16985389.71852285,55005,55107,243456343.00792345,243456343.00792345
