source_FIPS_0,source_facility_0,destination_FIPS_0,destination_facility_0,flow_kg_0,source_0,destination_0,emission_0,emission_total
1059,0,1059,0,6733.100122196567,1059,1059,388860.184966264,388860.184966264
29119,0,5087,0,68.85264375118282,29119,5087,6443.922509010676,6443.922509010676
31157,0,6025,0,27085.115536462745,31157,6025,640733.2280978576,640733.2280978576
31157,0,31007,0,3234130.853549645,31157,31007,61511639.4140336,61511639.4140336
37011,0,37193,0,50.013618732431105,37011,37193,235.23577646505026,235.23577646505026
46039,0,46029,0,1102641.913627004,46039,46029,26934972.98169808,26934972.98169808
8087,0,8123,0,77558.71745667308,8087,8123,867327.1475158434,867327.1475158434
17009,0,17009,0,12554150.64,17009,17009,139136914.61447743,139136914.61447743
19135,0,19101,0,22269121.90334703,19135,19101,463780314.97005457,463780314.97005457
19135,0,19117,0,14657552.284508104,19135,19117,303967953.13047296,303967953.13047296
19135,0,5133,0,206972.48774831608,19135,5133,4753818.124383292,4753818.124383292
28155,0,28159,0,4008.761938309419,28155,28159,34889.93356160777,34889.93356160777
28131,0,28131,0,9330.533201777936,28131,28131,732796.5722817025,732796.5722817025
28131,0,28047,0,44990.47611503919,28131,28047,3536163.133781657,3536163.133781657
31159,0,31081,0,67066.49893280621,31159,31081,884017.5876194749,884017.5876194749
31159,0,31185,0,14858602.71285551,31159,31185,194251608.57720238,194251608.57720238
39139,0,39169,0,7309390.032134679,39139,39169,73301372.31392981,73301372.31392981
39139,0,39075,0,635368.16846672,39139,39075,6386144.620389169,6386144.620389169
46085,0,46003,0,178880.12786776258,46085,46003,7565877.976320416,7565877.976320416
46085,0,46015,0,8804038.269638048,46085,46015,371417507.41385585,371417507.41385585
48285,0,48285,0,17743.157277356,48285,48285,542574.3646446795,542574.3646446795
55139,0,28065,0,5354.42647717632,55139,28065,85217.13167448158,85217.13167448158
55139,0,28035,0,25872.55973267067,55139,28035,415088.2901602129,415088.2901602129
19027,0,19027,0,52627490.77165167,19027,19027,521007029.6167284,521007029.6167284
19027,0,19047,0,24088979.29462309,19027,19047,240292869.5087379,240292869.5087379
