source_FIPS_0,source_facility_0,destination_FIPS_0,destination_facility_0,flow_kg_0,source_0,destination_0,emission_0,emission_total
46039,0,46029,0,253643820.73475167,46039,46029,6195927593.5671215,6195927593.5671215
8087,0,8123,0,52349855.46525959,8087,8123,585420340.9038416,585420340.9038416
31159,0,31081,0,90944511.4058517,31159,31081,1198758677.7234633,1198758677.7234633
31159,0,31185,0,377670122.8730765,31159,31185,4937411026.958265,4937411026.958265
46085,0,46003,0,50093746.28842499,46085,46003,2118755036.1947186,2118755036.1947186
19027,0,19027,0,112506385.71969576,19027,19027,1113802253.865142,1113802253.865142
19027,0,19047,0,92178477.48493472,19027,19047,919500597.8001577,919500597.8001577
19027,0,19073,0,471662263.90897185,19027,19073,4703328244.358654,4703328244.358654
18047,0,47105,0,48285246.02078716,18047,47105,680949270.047118,680949270.047118
19063,0,19147,0,4008903.029075734,19063,19147,43566849.360995844,43566849.360995844
19063,0,27091,0,114207988.55277856,19063,27091,1243059961.0803359,1243059961.0803359
19063,0,19059,0,268289187.91364115,19063,19059,2910358964.93865,2910358964.93865
17147,0,17115,0,623796624.5291666,17147,17115,5004554456.689211,5004554456.689211
26045,0,26025,0,196773423.95010027,26045,26025,2468260698.0267305,2468260698.0267305
38047,0,38055,0,54033583.00151181,38047,38055,2099802522.8483758,2099802522.8483758
39137,0,39003,0,319639410.51430494,39137,39003,3731951551.6387906,3731951551.6387906
55017,0,55017,0,253065693.25300935,55017,55017,2490814568.1487923,2490814568.1487923
46125,0,46125,0,377823477.1647625,46125,46125,5357620567.64888,5357620567.64888
19101,0,48117,0,111180455.51992916,19101,48117,1942343658.8718152,1942343658.8718152
19197,0,19197,0,43367908.77228997,19197,19197,396075057.30562717,396075057.30562717
19197,0,19169,0,6099275.875753453,19197,19169,56886044.90006778,56886044.90006778
19197,0,19187,0,240829776.18848664,19197,19187,2227914403.2037754,2227914403.2037754
19197,0,19079,0,202757540.82391703,19197,19079,1868801876.6423385,1868801876.6423385
31143,0,31121,0,338254261.1812169,31143,31121,4280387820.1261597,4280387820.1261597
18119,0,18027,0,39148726.50167165,18119,18027,572477736.3512354,572477736.3512354
27043,0,27043,0,484782918.1,27043,27043,4138869997.9472733,4138869997.9472733
27043,0,27091,0,233748968.08956987,27043,27091,2010777345.4693491,2010777345.4693491
46051,0,46051,0,113551990.08184658,46051,46051,1671427373.4056807,1671427373.4056807
46051,0,27151,0,48589046.04079747,46051,27151,723315955.546109,723315955.546109
8039,0,8005,0,1051970.990039656,8039,8005,41664504.1218598,41664504.1218598
31019,0,31019,0,167831466.77579173,31019,31019,2776542944.0753627,2776542944.0753627
31019,0,31047,0,237066197.34174892,31019,31047,3958724401.4756947,3958724401.4756947
31019,0,6039,0,61800565.58050133,31019,6039,1378593307.334289,1378593307.334289
46115,0,46115,0,92478220.90822116,46115,46115,1541111926.6713293,1541111926.6713293
46115,0,46013,0,614791255.2736689,46115,46013,10348558811.580898,10348558811.580898
19123,0,19135,0,376135793.7903189,19123,19135,3924769245.8349195,3924769245.8349195
13201,0,13205,0,41368620.83818334,13201,13205,395624036.90777963,395624036.90777963
